web-scraper-order,web-scraper-start-url,Reviews,pagination,pagination-href
"1530528451-437","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Excellent work life balance here""
""Brilliant Work Culture Challenging coding""
""Good work environment; Nice people; Motivating; Flexible timings; Individual ownership""
""Flexible work hours, good work culture and opportunity to grow""
""Flexibility is awesome example working hours","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528259-1","https://www.indeed.co.in/cmp/Flipkart.com/reviews","awesome place to work in warehouse.also gets lots of knowledge about product & handling, if there is workload at that time full management help to complete the workload but with joy without giving any stress like other company ...","",""
"1530528413-373","https://www.indeed.co.in/cmp/Flipkart.com/reviews","During a typical work day, one of my biggest tasks is support my team to finish the productive.

Smart work, how to get the work done from the people.

Management, Supportive people.","11","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=200"
"1530528441-420","https://www.indeed.co.in/cmp/Flipkart.com/reviews","It purely depends on which team/dept you work. If you are working in IT you have nice perks. If you are working for Customer Service/QA/ Escalation team then its really worst.

Too much internal politics, Religion and Language grouping. No opportunities to grow and learn. No support from senior people. No offers for internal employees","7","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=120"
"1530528328-283","https://www.indeed.co.in/cmp/Flipkart.com/reviews","-My Manager encouraged my skill level in excel and i proved my talent in excel (Auto mail Execution ).
-Macro Implementation.
-Process Error Analysis
-Process Design","16","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=300"
"1530528278-138","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Good Management and Excellent Co-workers, Happy to be a Part of flipkart and the work Environment is amazing, most enjoyable part of job is having good Co-workers.","27","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=520"
"1530528451-449","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Worked as associate raising funds to a NGO called samartham . Achieved the given target with 95% quality and also recived multiple awards for best performence.","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528290-189","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Nothing same came there as process change and was taken to different team.","23","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=440"
"1530528278-143","https://www.indeed.co.in/cmp/Flipkart.com/reviews","This is my first company, got to learn a lot, from the managers and colleagues.. Learned how to deal with the vendors, developed my skills and knowledge","27","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=520"
"1530528451-435","https://www.indeed.co.in/cmp/Flipkart.com/reviews",". I m a  good listener nd also a good employer   
. No day typical because I will enjoy my work 
. I learned more things about ths company 
. I would like my work  no work is burden for me","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528340-304","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Learned new technologies like Ruby, Storm, Python. Work environment is gud co-workers are helpful and friendly. Enjoyed solving complex problem and learnt may tech stacks","15","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=280"
"1530528269-88","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Although i have been working for over six years in varied Industries, i can very confidently say that no two days are similar to each other.
The day begins with planning for the tasks which i lay down on the previous night. This helps me in situations when something requires attention without prior notice while the other activities remain unaffected.Periodic short intervals helps me in maintaining my focus without physical exertion, followed by timed lunch and snacks to keep the energy high at work and since i have a family, i aim to stick to my timelines so that we can spend time together while agendas and tasks remain 
On a daily basis, i get a lot of clarity with regards to people management, ever changing dynamics of the industry and its impact on the organisation and our reaction to remain competitive and enhance value to our customers/clients/stakeholders.
What strikes about the management is that being from very humble backgrounds, they understand the finer intricacies about the situation and provide a helping hand not just to resolve a situation but also to streamline the future.
The age bracket of people who i have worked with range from college freshers to people on the verge of retirement, that infuses ideas which are fresh and also ideas evolved over a period of time with a lot of experience, which is turn has helped me understand complexities much better and simultaneously understand patterns of human behaviour.
Each days comes with its own dynamics and the best part of my work is that i get a chance to learn something everyday which ould range from people","17","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=320"
